epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0505,1.66572,4.97073,1.77918,0.51428,0.20384,0.14358,0.11215,1.00439,4.89875,1.31626,7.337e-05,7.337e-05,7.337e-05
2,43.0728,1.40436,3.31978,1.60634,0.63498,0.44723,0.43862,0.33349,0.94815,8.15777,1.28491,0.000150879,0.000150879,0.000150879
3,55.9077,1.27543,2.46855,1.47708,0.40802,0.60094,0.53136,0.40125,1.05764,3.7751,1.34266,0.000225746,0.000225746,0.000225746
4,68.8696,1.27859,2.17489,1.45278,0.51915,0.49322,0.56169,0.44372,1.07565,3.45087,1.34308,0.000297972,0.000297972,0.000297972
5,81.9576,1.28993,1.93687,1.44394,0.73707,0.47507,0.61773,0.44431,1.02646,2.20015,1.28149,0.000367557,0.000367557,0.000367557
6,95.472,1.19148,1.63488,1.3628,0.80388,0.56075,0.75581,0.52041,1.07938,1.54977,1.3547,0.0004345,0.0004345,0.0004345
7,109.671,1.34609,1.701,1.49144,0.71238,0.51475,0.65761,0.45868,1.1554,1.79871,1.50846,0.000498803,0.000498803,0.000498803
8,122.03,1.19284,1.60117,1.36992,0.47508,0.58766,0.55611,0.38621,1.16059,1.92422,1.49814,0.000560463,0.000560463,0.000560463
9,135.661,1.22188,1.5708,1.3697,0.91935,0.26806,0.45474,0.3475,1.31438,2.15898,1.62972,0.000578956,0.000578956,0.000578956
10,148.287,1.24337,1.47828,1.37898,0.71245,0.26174,0.30146,0.20256,1.41389,3.08962,1.66895,0.00056795,0.00056795,0.00056795
11,161.591,1.20799,1.48804,1.36731,0.72866,0.44696,0.54758,0.35932,1.26985,1.7057,1.51257,0.000556945,0.000556945,0.000556945
12,173.021,1.18937,1.3674,1.35968,0.70638,0.37282,0.50042,0.32662,1.29312,1.8667,1.50037,0.00054594,0.00054594,0.00054594
13,184.428,1.15419,1.29253,1.33952,0.67051,0.40712,0.47762,0.32506,1.54486,2.09905,1.77426,0.000534934,0.000534934,0.000534934
14,196.172,1.1429,1.26345,1.30304,0.74859,0.49034,0.59658,0.44685,1.12958,1.83864,1.4408,0.000523928,0.000523928,0.000523928
15,208.034,1.13726,1.18115,1.30226,0.60245,0.66455,0.74348,0.48601,1.13383,1.42841,1.42089,0.000512923,0.000512923,0.000512923
16,219.073,1.17423,1.23615,1.31633,0.60442,0.42885,0.5641,0.41194,0.98703,2.00415,1.25285,0.000501917,0.000501917,0.000501917
17,232.333,1.07087,1.13667,1.24337,0.82616,0.46896,0.63756,0.46364,1.12277,1.62949,1.40826,0.000490912,0.000490912,0.000490912
18,244.37,1.1516,1.17773,1.32744,0.8367,0.59084,0.70609,0.49313,1.14671,1.41713,1.37542,0.000479907,0.000479907,0.000479907
19,256.024,1.0652,1.10206,1.27149,0.77827,0.76319,0.84845,0.57531,0.99516,0.84405,1.27196,0.000468901,0.000468901,0.000468901
20,269.404,0.95405,0.97593,1.18136,0.91361,0.65395,0.8337,0.62521,0.94332,0.86462,1.25792,0.000457895,0.000457895,0.000457895
21,282.215,0.99534,1.01319,1.20756,0.88132,0.5977,0.80605,0.58576,0.90382,1.04527,1.20595,0.00044689,0.00044689,0.00044689
22,293.486,0.98106,0.98191,1.18018,0.74777,0.73529,0.81478,0.6009,0.9162,0.97485,1.24014,0.000435884,0.000435884,0.000435884
23,306.051,0.99708,1.02327,1.23091,0.85102,0.67876,0.8085,0.55957,1.00843,0.95286,1.28573,0.000424879,0.000424879,0.000424879
24,319.159,0.97105,0.95591,1.19609,0.71236,0.77121,0.81845,0.58285,0.94812,0.89421,1.23005,0.000413873,0.000413873,0.000413873
25,332.164,0.92866,0.96887,1.18861,0.82843,0.66904,0.7589,0.55412,0.89515,0.92083,1.1684,0.000402868,0.000402868,0.000402868
26,345.005,0.94872,0.96403,1.18347,0.72718,0.65985,0.69323,0.55386,0.87824,1.07856,1.16657,0.000391862,0.000391862,0.000391862
27,357.868,0.93614,0.90177,1.17278,0.84243,0.67246,0.81385,0.55216,1.03022,1.05699,1.30068,0.000380857,0.000380857,0.000380857
28,371.52,0.91489,0.89533,1.18688,0.73238,0.79147,0.85531,0.63201,0.88457,0.75495,1.14087,0.000369851,0.000369851,0.000369851
29,384.744,0.90908,0.86536,1.16978,0.84534,0.76317,0.82414,0.62017,0.9141,0.73172,1.16686,0.000358846,0.000358846,0.000358846
30,396.315,0.87022,0.81445,1.125,0.86954,0.7311,0.82037,0.59529,0.95636,0.79587,1.22179,0.00034784,0.00034784,0.00034784
31,407.678,0.93115,0.88872,1.17115,0.86698,0.71809,0.80012,0.60178,0.97033,0.79468,1.19835,0.000336835,0.000336835,0.000336835
32,420.233,0.83476,0.74232,1.11736,0.87579,0.73076,0.83228,0.60168,0.89409,0.79954,1.15664,0.000325829,0.000325829,0.000325829
33,432.066,0.90614,0.84526,1.16841,0.89476,0.78264,0.85638,0.62594,0.88256,0.72174,1.15924,0.000314824,0.000314824,0.000314824
34,443.154,0.84939,0.81002,1.12062,0.8975,0.83734,0.87258,0.65126,0.79281,0.62834,1.088,0.000303818,0.000303818,0.000303818
35,455.474,0.80534,0.77223,1.12263,0.75965,0.83136,0.83091,0.62398,0.89211,0.73321,1.18032,0.000292813,0.000292813,0.000292813
36,466.146,0.82224,0.78184,1.10962,0.73882,0.76422,0.80921,0.58579,0.9031,0.87622,1.19758,0.000281807,0.000281807,0.000281807
37,477.315,0.81357,0.74721,1.10382,0.82991,0.67656,0.80701,0.5851,0.94209,0.8828,1.21613,0.000270802,0.000270802,0.000270802
38,489.473,0.80157,0.74775,1.10748,0.82748,0.75764,0.84281,0.61939,0.95165,0.76846,1.22594,0.000259796,0.000259796,0.000259796
39,502.55,0.75566,0.72726,1.07973,0.72837,0.77854,0.84637,0.61854,0.97856,0.73231,1.22925,0.000248791,0.000248791,0.000248791
40,514.482,0.82078,0.78064,1.14627,0.85577,0.76145,0.83047,0.61999,0.97223,0.6808,1.22339,0.000237785,0.000237785,0.000237785
41,528.16,0.77453,0.69608,1.07707,0.80401,0.73587,0.81617,0.63101,0.91935,0.7526,1.20287,0.00022678,0.00022678,0.00022678
42,541.013,0.79175,0.69348,1.08812,0.8649,0.74283,0.82748,0.64355,0.86872,0.80345,1.14762,0.000215774,0.000215774,0.000215774
43,553.634,0.76204,0.66316,1.07265,0.87138,0.75465,0.83643,0.62753,0.90395,0.74502,1.15795,0.000204769,0.000204769,0.000204769
44,565.255,0.73508,0.62059,1.07186,0.82789,0.7748,0.82914,0.61833,0.87813,0.7472,1.14896,0.000193763,0.000193763,0.000193763
45,577.334,0.71381,0.62335,1.05844,0.89599,0.707,0.83283,0.63291,0.89137,0.76071,1.15641,0.000182758,0.000182758,0.000182758
46,588.932,0.75714,0.68032,1.09817,0.86415,0.68316,0.82272,0.61586,0.89367,0.81295,1.15586,0.000171752,0.000171752,0.000171752
47,599.207,0.71894,0.61562,1.06201,0.82719,0.6872,0.81317,0.62351,0.8444,0.79803,1.10898,0.000160747,0.000160747,0.000160747
48,609.972,0.69927,0.6268,1.02854,0.85113,0.76827,0.84274,0.65509,0.83629,0.71417,1.09657,0.000149741,0.000149741,0.000149741
49,621.515,0.67179,0.57303,1.0403,0.89946,0.7745,0.85803,0.67164,0.80866,0.72559,1.09317,0.000138736,0.000138736,0.000138736
50,633.316,0.68048,0.67755,1.02994,0.90654,0.73151,0.83586,0.64192,0.87543,0.77541,1.14369,0.000127731,0.000127731,0.000127731
51,661.813,0.60177,0.49135,0.99717,0.90236,0.65386,0.83607,0.62465,0.91935,0.75089,1.17459,0.000116725,0.000116725,0.000116725
52,675.972,0.56512,0.43295,0.97497,0.73474,0.84994,0.83612,0.65094,0.83028,0.69138,1.1165,0.00010572,0.00010572,0.00010572
53,687.674,0.52073,0.42351,0.93611,0.76343,0.85941,0.84015,0.6603,0.80027,0.62487,1.10494,9.4714e-05,9.4714e-05,9.4714e-05
54,699.92,0.53374,0.39694,0.96221,0.88797,0.70956,0.83518,0.66178,0.83799,0.64227,1.15109,8.37085e-05,8.37085e-05,8.37085e-05
55,712.517,0.50282,0.39516,0.9289,0.75475,0.8146,0.82732,0.64741,0.85185,0.69452,1.1595,7.2703e-05,7.2703e-05,7.2703e-05
56,725.019,0.49538,0.37935,0.9309,0.79201,0.80406,0.84273,0.66492,0.81788,0.66687,1.1288,6.16975e-05,6.16975e-05,6.16975e-05
57,738.976,0.48911,0.39908,0.92426,0.8127,0.78378,0.84191,0.66211,0.83547,0.6345,1.15594,5.0692e-05,5.0692e-05,5.0692e-05
58,750.283,0.46194,0.35622,0.90797,0.84701,0.74649,0.83905,0.66564,0.82075,0.63718,1.15477,3.96865e-05,3.96865e-05,3.96865e-05
59,762.072,0.46823,0.39295,0.92657,0.85417,0.76501,0.84397,0.67355,0.79252,0.63702,1.12816,2.8681e-05,2.8681e-05,2.8681e-05
60,774.655,0.4896,0.3812,0.91854,0.85505,0.76559,0.84468,0.67429,0.79106,0.64443,1.1257,1.76755e-05,1.76755e-05,1.76755e-05
